CakeVersion,Date,CompatibleCount,TotalCount
0.28.0,2018-06-17 00:02:14,53,223
0.26.0,2018-06-17 12:02:08,138,223
0.28.0,2018-06-17 12:02:08,53,223
0.26.0,2018-06-17 19:41:08,136,222
0.28.0,2018-06-17 19:41:08,47,222
0.26.0,2018-06-18 00:02:47,136,222
0.28.0,2018-06-18 00:02:48,47,222
0.26.0,2018-06-18 12:02:22,136,222
0.28.0,2018-06-18 12:02:22,47,222
0.26.0,2018-06-19 00:02:44,136,222
0.28.0,2018-06-19 00:02:44,47,222
0.26.0,2018-06-19 12:02:35,136,222
0.28.0,2018-06-19 12:02:35,47,222
0.26.0,2018-06-20 00:03:44,136,222
0.28.0,2018-06-20 00:03:44,47,222
0.26.0,2018-06-20 12:03:51,136,222
0.28.0,2018-06-20 12:03:51,47,222
0.26.0,2018-06-21 00:03:26,136,222
0.28.0,2018-06-21 00:03:26,56,222
0.26.0,2018-06-21 12:06:03,136,221
0.28.0,2018-06-21 12:06:03,56,221
0.26.0,2018-06-22 00:03:53,137,221
0.28.0,2018-06-22 00:03:53,58,221
0.26.0,2018-06-22 12:02:43,138,221
0.28.0,2018-06-22 12:02:43,59,221
0.26.0,2018-06-23 00:03:38,138,221
0.28.0,2018-06-23 00:03:38,60,221
0.26.0,2018-06-23 12:02:40,138,221
0.28.0,2018-06-23 12:02:40,60,221
0.26.0,2018-06-24 00:03:46,138,221
0.28.0,2018-06-24 00:03:46,63,221
0.26.0,2018-06-24 12:02:26,138,221
0.28.0,2018-06-24 12:02:26,63,221
0.26.0,2018-06-24 14:52:50,139,236
0.28.0,2018-06-24 14:52:50,63,236
0.26.0,2018-06-25 00:03:47,139,236
0.28.0,2018-06-25 00:03:47,63,236
0.26.0,2018-06-25 02:09:11,139,236
0.28.0,2018-06-25 02:09:11,63,236
0.26.0,2018-06-25 12:03:16,139,236
0.28.0,2018-06-25 12:03:16,64,236
0.26.0,2018-06-26 00:05:39,139,236
0.28.0,2018-06-26 00:05:39,65,236
0.26.0,2018-06-26 12:03:01,140,236
0.28.0,2018-06-26 12:03:01,67,236
0.26.0,2018-06-26 18:04:23,140,236
0.28.0,2018-06-26 18:04:23,67,236
0.26.0,2018-06-27 00:06:30,140,236
0.28.0,2018-06-27 00:06:30,67,236
0.26.0,2018-06-27 12:04:25,141,236
0.28.0,2018-06-27 12:04:25,68,236
0.26.0,2018-06-28 00:05:48,142,237
0.28.0,2018-06-28 00:05:48,69,237
0.26.0,2018-06-28 12:04:37,142,237
0.28.0,2018-06-28 12:04:37,69,237
0.26.0,2018-06-29 00:05:24,142,237
0.28.0,2018-06-29 00:05:24,69,237
0.26.0,2018-06-29 12:02:37,142,238
0.28.0,2018-06-29 12:02:37,69,238
0.26.0,2018-06-30 00:05:44,142,237
0.28.0,2018-06-30 00:05:44,69,237
0.26.0,2018-06-30 12:01:59,142,237
0.28.0,2018-06-30 12:01:59,69,237
0.26.0,2018-07-01 00:02:56,142,237
0.28.0,2018-07-01 00:02:56,69,237
0.26.0,2018-07-01 12:02:11,142,237
0.28.0,2018-07-01 12:02:11,69,237
0.26.0,2018-07-02 00:02:35,142,237
0.28.0,2018-07-02 00:02:35,69,237
0.26.0,2018-07-02 12:04:58,142,237
0.28.0,2018-07-02 12:04:58,69,237
0.26.0,2018-07-03 00:03:06,143,237
0.28.0,2018-07-03 00:03:06,72,237
0.26.0,2018-07-03 12:03:01,143,237
0.28.0,2018-07-03 12:03:01,72,237
0.26.0,2018-07-04 00:05:36,143,237
0.28.0,2018-07-04 00:05:36,74,237
0.26.0,2018-07-05 00:04:25,143,237
0.28.0,2018-07-05 00:04:25,74,237
0.26.0,2018-07-05 12:04:32,143,237
0.28.0,2018-07-05 12:04:32,74,237
0.26.0,2018-07-06 00:03:05,143,237
0.28.0,2018-07-06 00:03:05,74,237
0.26.0,2018-07-06 12:03:58,143,237
0.28.0,2018-07-06 12:03:58,74,237
0.26.0,2018-07-06 20:50:15,144,237
0.28.0,2018-07-06 20:50:15,75,237
0.26.0,2018-07-07 00:04:08,144,237
0.28.0,2018-07-07 00:04:08,75,237
0.26.0,2018-07-07 12:01:52,144,237
0.28.0,2018-07-07 12:01:52,75,237
0.26.0,2018-07-08 00:02:47,144,237
0.28.0,2018-07-08 00:02:47,75,237
0.26.0,2018-07-08 12:02:10,144,237
0.28.0,2018-07-08 12:02:10,75,237
0.26.0,2018-07-09 00:02:42,145,237
0.28.0,2018-07-09 00:02:42,76,237
0.26.0,2018-07-09 12:02:43,145,237
0.28.0,2018-07-09 12:02:43,76,237
0.26.0,2018-07-10 00:02:39,145,237
0.28.0,2018-07-10 00:02:39,76,237
0.26.0,2018-07-10 12:02:56,145,237
0.28.0,2018-07-10 12:02:56,76,237
0.26.0,2018-07-11 00:02:29,145,237
0.28.0,2018-07-11 00:02:29,76,237
0.26.0,2018-07-11 12:03:06,145,237
0.28.0,2018-07-11 12:03:06,76,237
0.26.0,2018-07-12 00:08:23,145,237
0.28.0,2018-07-12 00:08:24,77,237
0.26.0,2018-07-12 12:02:43,145,238
0.28.0,2018-07-12 12:02:43,77,238
0.26.0,2018-07-13 00:05:03,145,237
0.28.0,2018-07-13 00:05:03,77,237
0.26.0,2018-07-14 00:04:32,145,238
0.28.0,2018-07-14 00:04:32,78,238
0.26.0,2018-07-14 12:02:15,145,238
0.28.0,2018-07-14 12:02:15,78,238
0.26.0,2018-07-15 00:02:36,145,237
0.28.0,2018-07-15 00:02:36,78,237
0.26.0,2018-07-15 12:02:10,145,237
0.28.0,2018-07-15 12:02:10,78,237
0.26.0,2018-07-16 00:02:32,145,237
0.28.0,2018-07-16 00:02:32,79,237
0.26.0,2018-07-16 12:04:05,145,237
0.28.0,2018-07-16 12:04:05,79,237
0.26.0,2018-07-17 00:03:14,145,237
